district_name,state,flood_risk_level,flood_risk_score,corrected_percent_flooded_area,percent_flooded_area,permanent_water_percent,total_flood_events,total_flood_duration_days,avg_flood_duration_days,max_flood_duration_days,total_human_fatalities,avg_human_fatalities_per_event,max_human_fatalities_single_event,total_human_injured,total_human_displaced,total_animal_fatalities,monsoon_flood_events,heavy_rain_flood_events,recent_flood_events_2010_2023,has_historical_flood_record,has_detailed_rainfall_data,actual_rainfall_sw_monsoon_mm,normal_rainfall_sw_monsoon_mm,sw_monsoon_departure_percent,actual_rainfall_ne_monsoon_mm,normal_rainfall_ne_monsoon_mm,ne_monsoon_departure_percent,actual_rainfall_winter_mm,normal_rainfall_winter_mm,actual_rainfall_hot_weather_mm,normal_rainfall_hot_weather_mm,total_actual_rainfall_mm,total_normal_rainfall_mm,annual_rainfall_departure_percent,monsoon_intensity_ratio
Adilabad,Andhra Pradesh,High,42.47,0.988714607,1.209758847,0.22104424,25.0,210.0,8.4,38.0,1038.0,41.52,262.0,3.0,0.0,24255.0,24.0,14.0,9.0,1,0,,,,,,,,,,,,,,
Agar Malwa,Madhya Pradesh,Moderate,31.61,0.197996456,0.53688887,0.338892414,11.0,70.0,6.363636363636363,14.0,164.0,14.909090909090908,90.0,0.0,0.0,2000.0,9.0,5.0,1.0,1,0,,,,,,,,,,,,,,
Agra,Uttar Pradesh,High,55.44,4.031426704,4.133356464,0.10192976,39.0,782.0,20.05128205128205,365.0,4267.0,109.41025641025641,1025.0,120.0,0.0,4920.0,36.0,21.0,11.0,1,0,,,,,,,,,,,,,,
Ahmadabad,Gujarat,High,54.94,4.09983488,4.222292965,0.122458085,53.0,620.0,11.69811320754717,122.0,1868.0,35.24528301886792,288.0,68.0,2.0,29831.0,51.0,36.0,15.0,1,0,,,,,,,,,,,,,,
Ahmadnagar,Maharashtra,High,41.34,0.006268605,0.691347983,0.697616588,43.0,163.0,3.7906976744186047,21.0,504.0,11.720930232558139,149.0,53.0,0.0,3621.0,36.0,39.0,18.0,1,0,,,,,,,,,,,,,,
Aizawl,Mizoram,High,35.83,2.065788746,2.162077627,0.096288881,19.0,37.0,1.9473684210526316,17.0,205.0,10.789473684210526,106.0,42.0,11.0,0.0,12.0,12.0,7.0,1,0,,,,,,,,,,,,,,
Ajmer,Rajasthan,High,43.12,0.203556192,0.260510002,0.05695381,41.0,177.0,4.317073170731708,30.0,1195.0,29.146341463414632,581.0,73.0,0.0,200130.0,40.0,31.0,8.0,1,0,,,,,,,,,,,,,,
Akola,Maharashtra,High,46.59,0.605435381,0.880057177,0.274621796,68.0,265.0,3.8970588235294117,31.0,855.0,12.573529411764707,149.0,54.0,0.0,2734.0,56.0,55.0,29.0,1,0,,,,,,,,,,,,,,
Alappuzha,Kerala,Very High,71.79,12.40641849,21.06652893,8.660110439,113.0,600.0,5.3097345132743365,34.0,1338.0,11.84070796460177,339.0,534.0,9.0,847210.0,94.0,101.0,50.0,1,0,,,,,,,,,,,,,,
Aligarh,Uttar Pradesh,High,50.13,1.926834991,1.93292949,0.006094499,30.0,724.0,24.133333333333333,365.0,3420.0,114.0,1025.0,45.0,0.0,4572.0,28.0,16.0,4.0,1,0,,,,,,,,,,,,,,
